model,model_id,target_words,actual_words,repetition,latency_seconds,output_words
Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,5,5,1,0.7267515000003186,1
Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,5,5,2,0.7497268999995867,1
Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,5,5,3,0.7799475000001621,1
Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,10,10,1,1.2167907000002742,4
Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,10,10,2,1.1553217000000586,4
Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,10,10,3,1.156081300000551,4
Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,20,20,1,3.442200800000137,24
Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,20,20,2,3.418007499999476,24
Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,20,20,3,3.497278400000141,24
Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,40,40,1,5.011136200000692,40
Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,40,40,2,5.017036899999766,40
Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,40,40,3,5.082626800000071,40
Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,80,80,1,10.49296239999967,80
Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,80,80,2,9.864736700000321,80
Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,80,80,3,9.95674869999948,80
Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,120,120,1,12.243977099999938,100
Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,120,120,2,12.578294699999788,100
Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,120,120,3,13.206424099999822,100
Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,5,5,1,4.438162299999931,5
Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,5,5,2,4.486754200000178,5
Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,5,5,3,4.440568099999837,5
Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,10,10,1,6.2717197999991185,10
Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,10,10,2,6.125930700000026,10
Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,10,10,3,6.143622499999765,10
Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,20,20,1,4.963667500000156,6
Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,20,20,2,4.7872409999999945,6
Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,20,20,3,4.896979499999361,6
Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,40,40,1,6.525504100000035,11
Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,40,40,2,6.572974599999725,11
Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,40,40,3,6.682849200000419,11
Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,80,80,1,8.850687500000276,16
Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,80,80,2,9.216526199999862,16
Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,80,80,3,8.750965500000348,16
Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,120,120,1,18.826275200000055,50
Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,120,120,2,21.48496989999967,50
Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,120,120,3,22.63538080000035,50
SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,5,5,1,6.585103399999753,7
SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,5,5,2,6.086719199999607,7
SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,5,5,3,6.159293599999728,7
SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,10,10,1,6.026478800000405,6
SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,10,10,2,5.855210499999885,6
SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,10,10,3,5.891970700000456,6
SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,20,20,1,6.049552200000107,6
SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,20,20,2,6.507817000000614,6
SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,20,20,3,8.225269900000058,6
SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,40,40,1,6.085553900000377,4
SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,40,40,2,6.051305300000422,4
SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,40,40,3,6.042858600000727,4
SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,80,80,1,36.828943000000436,80
SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,80,80,2,35.95127270000012,80
SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,80,80,3,35.69672019999962,80
SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,120,120,1,23.613935200000014,50
SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,120,120,2,23.603520800000297,50
SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B-Instruct,120,120,3,24.894184799999493,50
